uf,week,date,pred,lower_95,lower_90,lower_80,lower_50,upper_50,upper_80,upper_90,upper_95
AC,51,2026-09-20,30,3,5,8,15,55,98,136.04999999999995,177
AC,52,2026-09-27,35,4,6,9,19,66,116,168,237.02499999999986
AC,53,2026-10-04,42,4,7,11,22,75,135.20000000000027,186,254.04999999999973
AL,1,2025-10-05,102.5,11,16,25,50,220,444.3000000000004,719.049999999999,1361.0249999999999
AL,2,2025-10-12,97,11,16,25,48,207,419,660.05,1148.2749999999985
AL,3,2025-10-19,90.5,10,15,22,45,188,379.3000000000004,639.1499999999999,952.9499999999948
AL,4,2025-10-26,85.5,9,13,21,41,182,379.10000000000014,625.2999999999997,1073.2249999999988
AL,5,2025-11-02,79.5,9,13,19,38,169,337.10000000000014,580,903.549999999997
AL,6,2025-11-09,75,8,12,18,34,159,321.2000000000003,523.2499999999998,762.1999999999989
AL,7,2025-11-16,66,6,10,16,32,142.25,288.10000000000014,466.14999999999986,857.6499999999965
AL,8,2025-11-23,61,6,9,15,29,130,256.40000000000055,422.14999999999986,770.2749999999985
AL,9,2025-11-30,58,6,8,14,28,130,273.10000000000014,436.0999999999999,711
AL,10,2025-12-07,55,6,9,13,26.75,119,253,428.0999999999999,692.0749999999996
AL,11,2025-12-14,57,5,8,13,26,112,245.10000000000014,375.04999999999995,605.2749999999985
AL,12,2025-12-21,53,6,8,12,25,113,246.10000000000014,423.14999999999986,611.0749999999996
AL,13,2025-12-28,56,5.975000000000001,9,13,27,114,252.3000000000004,404.0999999999999,632.1249999999993
AL,14,2026-01-04,58,6,8,13,28,121.25,257,417.2499999999998,702.0249999999999
AL,15,2026-01-11,63,6,9,15,30,125,266.3000000000004,405.04999999999995,742.174999999999
AL,16,2026-01-18,66,7,10,15,30,136.5,279.10000000000014,436.0999999999999,773.549999999997
AL,17,2026-01-25,67,8,12,17,32,143,288.10000000000014,500,851.6249999999966
AL,18,2026-02-01,75,8,11,19,37,159,317,500.0999999999999,829.2249999999988
AL,19,2026-02-08,84,9,13.950000000000003,21,41.75,175,354.10000000000014,547.3999999999996,934.2249999999988
AL,20,2026-02-15,90,10,14,22,44,187,389.2000000000003,715.05,1031.724999999996
AL,21,2026-02-22,94.5,10,15,22,46,212,428.2000000000003,661.4499999999996,1023.174999999999
AL,22,2026-03-01,108,12,18.950000000000003,26,50,230,473.3000000000004,752.2999999999997,1218.0999999999995
AL,23,2026-03-08,113,12,18,27,54,231.25,491,884,1356.3999999999978
AL,24,2026-03-15,120,14,20,30,59,257,577.3000000000004,922.2999999999997,1358.2249999999988
AL,25,2026-03-22,137,15,23,33,62,285,583.5000000000007,974.0999999999999,1505.174999999999
AL,26,2026-03-29,143,14,21.950000000000003,34,69,300,601,945.1499999999999,1572.2499999999932
AL,27,2026-04-05,159,16.975,25,38,75,326.25,662.700000000001,1107.05,1731.6249999999966
AL,28,2026-04-12,173,18,26.950000000000003,43,82,351,732.8000000000011,1176.2499999999998,1914.0499999999943
AL,29,2026-04-19,179.5,22,33,48,92,377,825.1000000000001,1406.3999999999987,2140.774999999996
AL,30,2026-04-26,209,23,32,48,100,432.25,887.3000000000004,1446.2499999999998,2240.4749999999976
AL,31,2026-05-03,215,26,37,56.900000000000006,108,431.25,871.1000000000001,1417.2499999999998,2330.4249999999925
AL,32,2026-05-10,228,25,40,56,112.75,477.5,899,1358.6999999999994,2550.7999999999956
AL,33,2026-05-17,242.5,28.950000000000003,39,62,121,529.75,1092.2000000000003,1669.299999999998,2521.1249999999995
AL,34,2026-05-24,269,30,42.95,68,126,550.25,1105.4000000000005,1728.3999999999996,2670.8499999999954
AL,35,2026-05-31,267,31,45.95,71,134.75,561.5,1176.1000000000001,1843.1,2680.075
AL,36,2026-06-07,293,34,47.95,71,143,588.75,1204.2000000000003,1942.099999999999,3297.224999999999
AL,37,2026-06-14,285,32,48,71,136,605.25,1175.700000000001,1916.5499999999986,3145.1749999999993
AL,38,2026-06-21,292,29.975,43.95,68.9,142,599,1214.1000000000001,1901.1499999999999,3013.0749999999944
AL,39,2026-06-28,296.5,30,44,71,140.75,599,1252.400000000002,2063.249999999998,3434.149999999994
AL,40,2026-07-05,276,30,41,63,133.75,579.25,1192.3000000000004,1869.049999999999,3111.3499999999926
AL,41,2026-07-12,262,31,46.95,70.9,131,554.25,1123.1000000000001,1788.249999999998,3024.724999999996
AL,42,2026-07-19,263.5,29.950000000000003,43.95,62.900000000000006,125,535,1090.4000000000005,1694.1499999999999,2663.249999999988
AL,43,2026-07-26,250,29,43,63.900000000000006,121,513.25,1058.2000000000003,1615.6999999999994,2467.9499999999844
AL,44,2026-08-02,231,24,33,55.900000000000006,114,490,972.1000000000001,1542.2499999999998,2378.474999999992
AL,45,2026-08-09,203,25.975,35,54,102,443.25,892.6000000000008,1464.1999999999998,2484.124999999988
AL,46,2026-08-16,185,24,33,47,89,406,809,1299.4999999999995,2123.0999999999995
AL,47,2026-08-23,173,18,27,41.900000000000006,80,379,736.2000000000003,1162.1,1902.0999999999995
AL,48,2026-08-30,156,18.975,26,40,76,329,663.2000000000003,1031.4999999999995,1656.4249999999922
AL,49,2026-09-06,145,16,25.950000000000003,36,68,302,606.3000000000004,940.049999999999,1612.2499999999986
AL,50,2026-09-13,132.5,15,21,32,63,281,590.6000000000008,961.05,1390.2249999999988
AL,51,2026-09-20,119,13.975000000000001,20,31,58,249.5,524.1000000000001,839.2999999999997,1260.0249999999944
AL,52,2026-09-27,114.5,11.975000000000001,17,28,56,243,511,809.3499999999997,1325.9999999999945
AL,53,2026-10-04,107,13,18,26,52,227,473.10000000000014,733.2999999999997,1327.724999999996
AM,1,2025-10-05,60,12,16,22,34,103,174.10000000000014,252.34999999999968,365.0749999999996
AM,2,2025-10-12,60,12,15,22,36,100.25,172,246.04999999999995,345.02499999999986
AM,3,2025-10-19,59,12,17,23,36,103,189.20000000000027,247,339.0749999999996
AM,4,2025-10-26,64.5,13,17,24,38,108,174,244.04999999999995,353.0499999999997
AM,5,2025-11-02,65,14,18,24,39,108,185,256.14999999999986,339.1249999999993
AM,6,2025-11-09,68,14,19,26,40,117,194.10000000000014,278.0999999999999,360.02499999999986
AM,7,2025-11-16,74,16,20,27,45,126,209.10000000000014,283,390.0499999999997
AM,8,2025-11-23,79,18,22,30,48,130,220.10000000000014,318.3499999999997,448.0499999999997
AM,9,2025-11-30,83,19,24,32,51,142,238.10000000000014,321.14999999999986,476.0499999999997
AM,10,2025-12-07,89,21,27,35,52,147,248.10000000000014,336.04999999999995,473.0499999999997
AM,11,2025-12-14,95,21,28,39,59,162,269,362.14999999999986,495.02499999999986
AM,12,2025-12-21,107,24,31,40.900000000000006,65,174,276,401.04999999999995,550.0749999999996
AM,13,2025-12-28,107,24,31.950000000000003,42,65,170,277.10000000000014,379.1999999999998,558.0749999999996
AM,14,2026-01-04,114,27,35,46,72,188,299.10000000000014,409.04999999999995,549.0499999999997
AM,15,2026-01-11,126,30,39,53,81,212.25,336.2000000000003,454.14999999999986,605.0499999999997
AM,16,2026-01-18,139,36,45,59,87.75,223,348,470.04999999999995,635.0999999999995
AM,17,2026-01-25,147,35,46,58,93,236,382.2000000000003,527.2499999999998,706.724999999996
AM,18,2026-02-01,153,40,49,64,98,257.25,415.10000000000014,564.0999999999999,768.174999999999
AM,19,2026-02-08,159,37,50,65,101,252.25,413,567.3499999999997,759.0499999999997
AM,20,2026-02-15,166,40,51,67.9,104,267.25,428.10000000000014,585.3999999999996,758.5999999999967
AM,21,2026-02-22,165,43,54,67,101.75,269,428.10000000000014,575.0999999999999,759.0499999999997
AM,22,2026-03-01,163,41.975,51,65,97,265,433,588.0999999999999,856.3999999999978
AM,23,2026-03-08,159,40,52,67,99,261,436,582.05,795
AM,24,2026-03-15,153,38,47.95,63,97,256,398.10000000000014,560.05,785.0249999999999
AM,25,2026-03-22,148,36,46,59,93,243,379.10000000000014,521.1999999999998,672.0499999999997
AM,26,2026-03-29,140,34,43,57,88,230,365.10000000000014,509.1999999999998,757.0749999999996
AM,27,2026-04-05,135,34,43,54,85,227,354,451,638.1249999999993
AM,28,2026-04-12,125,32.975,40,53,79,212,346.10000000000014,460.04999999999995,594.0999999999995
AM,29,2026-04-19,115,29,37,47,74,191,307.10000000000014,434.14999999999986,580.2249999999988
AM,30,2026-04-26,106,28,35,45,67,178,272.6000000000008,374.0999999999999,537.0249999999999
AM,31,2026-05-03,100,24,31,40,62,165,258,362.04999999999995,463
AM,32,2026-05-10,93,21.975,26,36,58,154.25,245,329.0999999999999,423.17499999999905
AM,33,2026-05-17,85,21,27,34,52,140.25,230,299.0999999999999,412.02499999999986
AM,34,2026-05-24,79,19,24,32,49,132,217,274.04999999999995,352.0499999999997
AM,35,2026-05-31,75,17.975,23,29,44,125,193,262.14999999999986,358.2749999999985
AM,36,2026-06-07,70,17,21.950000000000003,28,43,115,183,254.04999999999995,328.02499999999986
AM,37,2026-06-14,66,14,20,26,40,109,172.10000000000014,235.04999999999995,307.02499999999986
AM,38,2026-06-21,62,13,17,22.900000000000006,38,101,158,213.04999999999995,304
AM,39,2026-06-28,60,13,16,21,36,97,153.10000000000014,208.0999999999999,299.0749999999996
AM,40,2026-07-05,55,12,15.950000000000003,21,34,90,144.10000000000014,205.0999999999999,272.0499999999997
AM,41,2026-07-12,54,11.975000000000001,15,21,33,92,154,215.0999999999999,267
AM,42,2026-07-19,52,12,14,19,31,86,135.10000000000014,188.04999999999995,252.02499999999986
AM,43,2026-07-26,52,11,13.950000000000003,19,31,83,137.10000000000014,199,274.09999999999945
AM,44,2026-08-02,51,10,14,19,30,83.25,137.10000000000014,189.04999999999995,270
AM,45,2026-08-09,49,10,14,18,30,81,135,191.04999999999995,261
AM,46,2026-08-16,47,10,13,17,28,78,134,172,251.02499999999986
AM,47,2026-08-23,49,9,13,17,29,82,147,211.04999999999995,282.02499999999986
AM,48,2026-08-30,51,9.975000000000001,13,18,30,87,146.20000000000027,201,261.09999999999945
AM,49,2026-09-06,52,11,14,19,31,91.25,159.10000000000014,218.04999999999995,298.0499999999997
AM,50,2026-09-13,54,12,16,20,33,95,159,253.0999999999999,340.02499999999986
AM,51,2026-09-20,56,12,15,21,34,100,176,254.0999999999999,334.0749999999996
AM,52,2026-09-27,58,12,15,20,34,100,171,247.04999999999995,366.0499999999997
AM,53,2026-10-04,59,12,16,21,35,100,177,266.04999999999995,358.1499999999992
AP,1,2025-10-05,10,0,0,1,3,29,69,139.0999999999999,222.12499999999932
AP,2,2025-10-12,9,0,0,1,3,25,67,113,215.12499999999932
AP,3,2025-10-19,9,0,0,1,3,24,60.100000000000136,111.04999999999995,192.09999999999945
AP,4,2025-10-26,7,0,0,1,2,22,51,93,168.02499999999986
AP,5,2025-11-02,7,0,0,0,2,19,46.100000000000136,87,148.04999999999973
AP,6,2025-11-09,6,0,0,0,2,18,46,89,153.04999999999973
AP,7,2025-11-16,5,0,0,0,2,15,40,77,118
AP,8,2025-11-23,5,0,0,0,2,15,38,71,122.09999999999945
AP,9,2025-11-30,5,0,0,0,2,15,38,72,119
AP,10,2025-12-07,5,0,0,0,2,15,39,70.04999999999995,134.0749999999996
AP,11,2025-12-14,6,0,0,0,2,18,45.100000000000136,79.04999999999995,144
AP,12,2025-12-21,7,0,0,0,2,20,54,107.04999999999995,195.02499999999986
AP,13,2025-12-28,7,0,0,1,2,20.25,55.100000000000136,98.04999999999995,176.02499999999986
AP,14,2026-01-04,9,0,0,1,3,27,68,121.04999999999995,221.24999999999864
AP,15,2026-01-11,11.5,0,0,1,4,34,90.10000000000014,159.0999999999999,273.02499999999986
AP,16,2026-01-18,14,0,1,2,5,40,99.20000000000027,195.24999999999977,300.1999999999989
AP,17,2026-01-25,17,0,1,2,6,48,119,226.0999999999999,402.29999999999836
AP,18,2026-02-01,19,0,1,2,6,54,128.20000000000027,266.14999999999986,470.0749999999996
AP,19,2026-02-08,21,0,1,2,7,57,141.10000000000014,293,566.2249999999988
AP,20,2026-02-15,21,0,1,2,7,60,151.10000000000014,286.0999999999999,488.0499999999997
AP,21,2026-02-22,23,0,1,3,8,63,170,322.0999999999999,601.7999999999956
AP,22,2026-03-01,23,0,1,3,8,63,170,322.0999999999999,546.0249999999999
AP,23,2026-03-08,23,0,1,3,8,66,158,274.1999999999998,493
AP,24,2026-03-15,23,0,1,2,7,63.25,156.10000000000014,280.2499999999998,535.174999999999
AP,25,2026-03-22,21,0,1,2,7,59,142.10000000000014,281.0999999999999,479.0499999999997
AP,26,2026-03-29,19,0,1,2,6,54.25,144,245.04999999999995,458.2749999999985
AP,27,2026-04-05,19,0,1,2,6,54,140.10000000000014,243.29999999999973,417.09999999999945
AP,28,2026-04-12,18,0,1,2,6,52,127.10000000000014,243.0999999999999,411.02499999999986
AP,29,2026-04-19,16,0,1,2,5,46,119,227.04999999999995,407.09999999999945
AP,30,2026-04-26,15,0,1,2,5,42,109.10000000000014,199.14999999999986,351.1249999999993
AP,31,2026-05-03,14,0,1,2,5,39,103,203.04999999999995,350.0499999999997
AP,32,2026-05-10,13,0,0,1,4,36,92,180.0999999999999,317.3499999999981
AP,33,2026-05-17,12,0,0,1,4,32,89,167.14999999999986,279.02499999999986
AP,34,2026-05-24,11,0,0,1,4,31,83.10000000000014,152,253.02499999999986
AP,35,2026-05-31,11,0,0,1,4,30,79,149.29999999999973,242.02499999999986
AP,36,2026-06-07,10,0,0,1,3,29,70.10000000000014,130.04999999999995,260.02499999999986
AP,37,2026-06-14,9,0,0,1,3,26,68,116.04999999999995,235.09999999999945
AP,38,2026-06-21,10,0,0,1,3,28,67,116.04999999999995,189.0749999999996
AP,39,2026-06-28,9,0,0,1,3,25,65.10000000000014,115.14999999999986,195.02499999999986
AP,40,2026-07-05,9,0,0,1,3,27,69,118.09999999999991,217
AP,41,2026-07-12,10,0,0,1,3,26,68,125.09999999999991,220.02499999999986
AP,42,2026-07-19,10,0,0,1,3,28,72,138.0999999999999,229.0749999999996
AP,43,2026-07-26,10,0,0,1,3,29,77,130.04999999999995,232.29999999999836
AP,44,2026-08-02,11,0,0,1,3,32,79.10000000000014,147.0999999999999,252.04999999999973
AP,45,2026-08-09,12,0,0,1,4,33,79,147.29999999999973,254.22499999999877
AP,46,2026-08-16,13,0,0.9500000000000028,1,4,35,95,161.04999999999995,291.2249999999988
AP,47,2026-08-23,13,0,0,1,5,37,92,158,287.0499999999997
AP,48,2026-08-30,13,0,0,1,4,38,95,179.04999999999995,313.1499999999992
AP,49,2026-09-06,12,0,0,1,4,34,87.20000000000027,173.14999999999986,302
AP,50,2026-09-13,12,0,0,1,4,37,91,162,290.1499999999992
AP,51,2026-09-20,12,0,0,1,4,34.25,84.20000000000027,153,242.2749999999985
AP,52,2026-09-27,11,0,0,1,4,33,78,147,280.0749999999996
AP,53,2026-10-04,10,0,0,1,3,31,76,146,265.1499999999992
BA,1,2025-10-05,290,97.975,110,136,193.75,462.25,762.2000000000003,1085.3999999999996,1454.4999999999973
BA,2,2025-10-12,299,92.975,113,139,191.75,476,784.1000000000001,1058.1999999999998,1531.0499999999997
BA,3,2025-10-19,294,98,114,138.9,193,476.25,765.3000000000004,1071.1,1608.5749999999969
BA,4,2025-10-26,309.5,94,112,137,198,486.25,771.2000000000003,1068.1,1408.349999999998
BA,5,2025-11-02,321.5,96,117,147.9,206.75,498.25,797,1065.1999999999998,1434.1499999999992
BA,6,2025-11-09,320.5,100.975,121,146,212.75,506,837,1165.3499999999997,1608.3999999999978
BA,7,2025-11-16,326,102.97500000000001,120,150.9,217,525,837.1000000000001,1137,1505.4999999999973
BA,8,2025-11-23,332,104,125,155,223,527,855.4000000000005,1222.1499999999999,1641.1249999999993
BA,9,2025-11-30,357.5,104.975,131.95,164.9,239,552,893.3000000000004,1264.1499999999999,1685.2499999999986
BA,10,2025-12-07,359,117.975,137,169,242,582.25,921.2000000000003,1323.05,2072.249999999993
BA,11,2025-12-14,389,127.975,150,185,264.75,603,972.2000000000003,1375.1,2040.374999999998
BA,12,2025-12-21,435,133,159,200.9,287.75,693.5,1126.0000000000014,1552.4499999999996,2073.2499999999986
BA,13,2025-12-28,441,141.925,164.95,207,301.75,682.25,1082.1000000000001,1549.2499999999998,2185.374999999998
BA,14,2026-01-04,506,168.975,196.95,236,325,777,1260.1000000000001,1771.1999999999998,2763.299999999993
BA,15,2026-01-11,580,191.95,224,272,387,939.25,1473.4000000000005,2135.1499999999996,3155.9499999999944
BA,16,2026-01-18,701,228,272.95,328.9,463,1107.25,1811.7000000000023,2548.2,3399.5249999999915
BA,17,2026-01-25,835,289.97499999999997,338.95000000000005,410,557,1296,2018.4000000000005,2850,3755.1499999999987
BA,18,2026-02-01,980.5,314,387,476,656,1557.25,2436.4000000000005,3504.1,4774.7749999999905
BA,19,2026-02-08,1154,391,458.95000000000005,566.9000000000001,779.75,1814.25,2796.5000000000023,4175.65,5736.949999999995
BA,20,2026-02-15,1362,458,541.85,658.9000000000001,905.75,2088.25,3363.1000000000026,4688.25,6511.149999999989
BA,21,2026-02-22,1527,503,578,740.9,1025.75,2320.25,3732.300000000003,4999.249999999999,7248.924999999973
BA,22,2026-03-01,1662,567,668.4,798.8000000000001,1106.5,2540.75,3927.6000000000013,5300.45,7345.5499999999975
BA,23,2026-03-08,1799,584.9749999999999,700.95,871,1227,2805.25,4338.4000000000015,6027.5999999999985,8733.674999999996
BA,24,2026-03-15,1887,634.95,739.9499999999999,910.9000000000001,1268,2897.25,4544.900000000004,6204.15,8502
BA,25,2026-03-22,1987,685.775,788.95,964.5,1309,3047.5,4915.200000000001,6548.949999999999,8960.199999999975
BA,26,2026-03-29,1980.5,679.9749999999999,793.85,947.8,1333.75,3085.5,5056.1,7045.949999999999,9530.724999999986
BA,27,2026-04-05,2023,693.875,806.9499999999999,998,1367.75,3165.75,4801.1,6866.5999999999985,9829.024999999996
BA,28,2026-04-12,2036.5,672.9250000000001,796,997.5000000000001,1366.75,3109.25,4977.6,6801.599999999998,9451.374999999987
BA,29,2026-04-19,2004,687.95,792.8000000000001,953,1324.75,3074.75,4737,6704.699999999999,9239.724999999975
BA,30,2026-04-26,1999.5,705.95,816,973.8000000000001,1332.75,3036,4668.900000000003,6464.899999999999,9070.049999999967
BA,31,2026-05-03,1898.5,671.925,759.9,941.6000000000001,1275.75,2938.25,4812.6,6680,8975.824999999995
BA,32,2026-05-10,1818,625.9250000000001,750.8499999999999,889.9,1235.75,2802,4562.3,6226.4,8285.624999999958
BA,33,2026-05-17,1675.5,598,680.8000000000001,837,1123,2577.75,4121.700000000004,5602.199999999999,7009.599999999997
BA,34,2026-05-24,1545,532.975,622,764,1042.75,2355.5,3765.2,5280.15,6957.474999999998
BA,35,2026-05-31,1391,485.95000000000005,583,689,931,2109.25,3414,4717.899999999999,6232.049999999999
BA,36,2026-06-07,1264,379.925,480.7,596.9,824.25,1917.5,2936.4000000000005,3876.05,5039.849999999995
BA,37,2026-06-14,1106,364,416,515,733.75,1723.25,2604.2000000000003,3524.5999999999995,4475.224999999994
BA,38,2026-06-21,955,332.875,390,465.9,634.5,1497.5,2393.1,3262.2999999999997,4348.274999999999
BA,39,2026-06-28,847,297.97499999999997,344,412.79999999999995,577,1343.5,2128.2000000000003,2878.5499999999984,4015.6249999999964
BA,40,2026-07-05,749,259,298.95000000000005,371,508,1167.25,1898.5000000000007,2648.7999999999984,3920.999999999989
BA,41,2026-07-12,671,217.95,260,323.9,453.75,1069,1716.6000000000008,2565.0499999999997,3651.8249999999953
BA,42,2026-07-19,607,200.975,233.95,287,409.75,956,1668.6000000000008,2479.05,3333.4999999999973
BA,43,2026-07-26,559,187,217,257.9,363,856,1393.3000000000004,2041.05,2797.699999999996
BA,44,2026-08-02,504.5,161,190,232.9,339.75,795.25,1303.1000000000001,1903.2999999999997,2537.649999999997
BA,45,2026-08-09,463.5,142.97500000000002,174,215,315,728,1186.2000000000003,1793.5499999999995,2497.324999999987
BA,46,2026-08-16,412,131.975,159,193.9,273,676,1128.1000000000001,1588.3999999999996,2049.2999999999984
BA,47,2026-08-23,386.5,120.975,144,175.9,253.75,625,1004.9000000000012,1409.2499999999998,2042.199999999999
BA,48,2026-08-30,357,112,132,164.9,230,574.25,921,1273.6999999999994,1787.0249999999999
BA,49,2026-09-06,350,108.975,125,156,224.75,554.25,888,1360.8999999999992,1929.3249999999928
BA,50,2026-09-13,324.5,103,123,151,214.75,516.25,854.1000000000001,1200.4499999999996,1614.4999999999973
BA,51,2026-09-20,306,103.975,118,144,202,488.5,820.6000000000008,1175.4499999999996,1659.374999999998
BA,52,2026-09-27,303,94.97500000000001,114,137,199,475.25,786.700000000001,1097.05,1518.0499999999997
BA,53,2026-10-04,303,99,113,139,198,473,756.1000000000001,1102.05,1589.1499999999992
CE,1,2025-10-05,125,33,40,52,80,201,325,482.04999999999995,644.0499999999997
CE,2,2025-10-12,119,34,41,51,78,191,326,424,594.1999999999989
CE,3,2025-10-19,115,32,39,49,74,186,318.2000000000003,458,616.0999999999995
CE,4,2025-10-26,117,29,36,46,72,186,308.10000000000014,416,578.0499999999997
CE,5,2025-11-02,116,31,37,48,73,187,306,439.4499999999996,650.0749999999996
CE,6,2025-11-09,113,29.975,37,48,69,187,328.2000000000003,446.04999999999995,683.0249999999999
CE,7,2025-11-16,110,30,36.95,46,68,184,312.3000000000004,425.0999999999999,633.0999999999995
CE,8,2025-11-23,107,29,36,46,68,172.25,295,413,651.0999999999995
CE,9,2025-11-30,99,27,32,42,61,163,273,397.04999999999995,560.0749999999996
CE,10,2025-12-07,97,25.975,32,40,60,157.25,261.2000000000003,361.14999999999986,508.0499999999997
CE,11,2025-12-14,92.5,24,30,39,58,150.25,258.2000000000003,376,539.1999999999989
CE,12,2025-12-21,91,26,32,39,60,151,256,372.04999999999995,540.0499999999997
CE,13,2025-12-28,92,23,30,39,58.75,151,250.20000000000027,363,503.02499999999986
CE,14,2026-01-04,101,28,34,44,65,164,277.10000000000014,381,528.0499999999997
CE,15,2026-01-11,117,34,40,50,76,198.25,316.2000000000003,458,647.4499999999975
CE,16,2026-01-18,139,40,52,64,92,228,375.10000000000014,503,655.0249999999999
CE,17,2026-01-25,170,49,60,76.9,110,277.25,438,596,782.0249999999999
CE,18,2026-02-01,207,59,76,92,137,328.25,547,775,1037.0749999999996
CE,19,2026-02-08,253,72,87.95,111,167,395,645.1000000000001,865.2499999999998,1210.4499999999975
CE,20,2026-02-15,297,85,103.95,137.9,201,466.25,749.1000000000001,1031.1999999999998,1445.6499999999965
CE,21,2026-02-22,361,109,131,166,238.75,559,875.3000000000004,1180.05,1610.9499999999948
CE,22,2026-03-01,413,126.92500000000001,153.9,189.9,270,652,1045.0000000000014,1534,2082.9249999999947
CE,23,2026-03-08,478,140.975,169.95,217.9,313.75,761,1200.1000000000001,1617.6499999999994,2291.399999999998
CE,24,2026-03-15,549,169,199.95,243,355.75,873.75,1431.6000000000008,1974.2999999999997,2574.299999999993
CE,25,2026-03-22,597,175,215,266.9,399,960.25,1508.3000000000004,2119.4999999999995,2923.3499999999876
CE,26,2026-03-29,669,195,237.95,297.9,427,1046.25,1689.3000000000004,2414.1499999999987,3271.649999999996
