uf,geocode,regional,regional_geocode,macroregional,macroregional_geocode
SC,4208450,Nordeste,42011,Planalto Norte e Nordeste,4211
SC,4216206,Nordeste,42011,Planalto Norte e Nordeste,4211
SC,4218509,Meio Oeste,42008,Meio Oeste e Serra Catarinense,4212
SC,4216404,Extremo Sul Catarinense,42014,Sul,4210
SC,4201307,Nordeste,42011,Planalto Norte e Nordeste,4211
SC,4204178,Serra Catarinense,42013,Meio Oeste e Serra Catarinense,4212
SC,4219358,Alto Vale do Itajaí,42004,Alto Vale do Itajaí,4216
SC,4206405,Extremo Oeste,42001,Grande Oeste,4213
SC,4207700,Alto Uruguai Catarinense,42010,Meio Oeste e Serra Catarinense,4212
SC,4203907,Meio Oeste,42008,Meio Oeste e Serra Catarinense,4212
SC,4205555,Alto Vale do Rio do Peixe,42009,Meio Oeste e Serra Catarinense,4212
SC,4215679,Alto Vale do Itajaí,42004,Alto Vale do Itajaí,4216
SC,4215109,Médio Vale do Itajaí,42006,Alto Vale do Itajaí,4216
RS,4316972,Região 03 - Fronteira Oeste,43003,Centro-oeste,4314
RS,4307203,Região 16 - Alto Uruguai Gaúcho,43016,Norte,4311
RS,4322905,Região 16 - Alto Uruguai Gaúcho,43016,Norte,4311
RS,4319901,Região 07 - Vale dos Sinos,43007,Metropolitana,4313
RS,4319356,Região 08 - Vale do Caí e Metropolitana,43008,Metropolitana,4313
RS,4323804,Região 04 - Belas Praias,43004,Metropolitana,4313
RS,4315073,Região 14 - Fronteira Noroeste,43014,Missioneira,4312
RS,4313441,Região 15 - Caminho das Águas,43015,Norte,4311
RS,4323200,Região 17 - Planalto,43017,Norte,4311
RS,4313508,Região 05 - Bons Ventos,43005,Metropolitana,4313
RS,4307831,Região 11 - Sete Povos das Missões,43011,Missioneira,4312
RS,4316105,Região 20 - Rota da Produção,43020,Norte,4311
RS,4314100,Região 17 - Planalto,43017,Norte,4311
RS,4314704,Região 15 - Caminho das Águas,43015,Norte,4311
RS,4323606,Região 25 - Vinhedos e Basalto,43025,Serra,4310
RS,4320321,Região 14 - Fronteira Noroeste,43014,Missioneira,4312
RS,4318465,Região 29 - Vales e Montanhas,43029,Vales,4308
RS,4319364,Região 20 - Rota da Produção,43020,Norte,4311
RS,4313359,Região 26 - Uva Vale,43026,Serra,4310
RS,4312054,Região 29 - Vales e Montanhas,43029,Vales,4308
RS,4309126,Região 20 - Rota da Produção,43020,Norte,4311
RS,4323101,Região 15 - Caminho das Águas,43015,Norte,4311
RS,4319711,Região 29 - Vales e Montanhas,43029,Vales,4308
RS,4319737,Região 13 - Diversidade,43013,Missioneira,4312
RS,4316808,Região 28 - Vinte e Oito,43028,Vales,4308
RS,4314423,Região 23 - Caxias e Hortênsias,43023,Serra,4310
RS,4313086,Região 26 - Uva Vale,43026,Serra,4310
RS,4312450,Região 21 - Sul,43021,Sul,4309
RS,4311627,Região 07 - Vale dos Sinos,43007,Metropolitana,4313
RS,4310330,Região 05 - Bons Ventos,43005,Metropolitana,4313
RS,4307807,Região 30 - Vale da Luz,43030,Vales,4308
RS,4307864,Região 25 - Vinhedos e Basalto,43025,Serra,4310
RS,4304614,Região 29 - Vales e Montanhas,43029,Vales,4308
RS,4312955,Região 20 - Rota da Produção,43020,Norte,4311
RS,4311643,Região 23 - Caxias e Hortênsias,43023,Serra,4310
RS,4308904,Região 16 - Alto Uruguai Gaúcho,43016,Norte,4311
RS,4318002,Região 11 - Sete Povos das Missões,43011,Missioneira,4312
RS,4311809,Região 17 - Planalto,43017,Norte,4311
RS,4302584,Região 13 - Diversidade,43013,Missioneira,4312
RS,4314209,Região 21 - Sul,43021,Sul,4309
RS,4317004,Região 21 - Sul,43021,Sul,4309
RS,4312708,Região 16 - Alto Uruguai Gaúcho,43016,Norte,4311
RS,4306106,Região 12 - Portal das Missões,43012,Missioneira,4312
RS,4321329,Região 15 - Caminho das Águas,43015,Norte,4311
RS,4318499,Região 14 - Fronteira Noroeste,43014,Missioneira,4312
RS,4318309,Região 03 - Fronteira Oeste,43003,Centro-oeste,4314
RS,4314456,Região 15 - Caminho das Águas,43015,Norte,4311
RS,4313805,Região 15 - Caminho das Águas,43015,Norte,4311
RS,4308250,Região 16 - Alto Uruguai Gaúcho,43016,Norte,4311
RS,4302659,Região 08 - Vale do Caí e Metropolitana,43008,Metropolitana,4313
RS,4301875,Região 03 - Fronteira Oeste,43003,Centro-oeste,4314
RS,4321204,Região 06 - Vale do Paranhana e Costa Serr,43006,Metropolitana,4313
RS,4320909,Região 18 - Araucárias,43018,Norte,4311
RS,4319125,Região 01 - Verdes Campos,43001,Centro-oeste,4314
RS,4319000,Região 26 - Uva Vale,43026,Serra,4310
RS,4317905,Região 14 - Fronteira Noroeste,43014,Missioneira,4312
RS,4311981,Região 09 - Carbonífera/Costa Doce,43009,Metropolitana,4313
RS,4311759,Região 03 - Fronteira Oeste,43003,Centro-oeste,4314
RS,4311601,Região 15 - Caminho das Águas,43015,Norte,4311
RS,4309308,Região 09 - Carbonífera/Costa Doce,43009,Metropolitana,4313
RS,4309258,Região 25 - Vinhedos e Basalto,43025,Serra,4310
RS,4323358,Região 18 - Araucárias,43018,Norte,4311
RS,4321006,Região 19 - Botucaraí,43019,Norte,4311
RS,4304952,Região 18 - Araucárias,43018,Norte,4311
RS,4304663,Região 21 - Sul,43021,Sul,4309
RS,4322707,Região 28 - Vinte e Oito,43028,Vales,4308
RS,4320800,Região 19 - Botucaraí,43019,Norte,4311
RS,4319604,Região 01 - Verdes Campos,43001,Centro-oeste,4314
RS,4319406,Região 01 - Verdes Campos,43001,Centro-oeste,4314
RS,4317707,Região 11 - Sete Povos das Missões,43011,Missioneira,4312
RS,4317103,Região 03 - Fronteira Oeste,43003,Centro-oeste,4314
RS,4317509,Região 11 - Sete Povos das Missões,43011,Missioneira,4312
RS,4316600,Região 18 - Araucárias,43018,Norte,4311
RS,4318507,Região 21 - Sul,43021,Sul,4309
RS,4313391,Região 27 - Jacuí Centro,43027,Vales,4308
RS,4315602,Região 21 - Sul,43021,Sul,4309
RS,4323002,Região 10 - Capital e Vale do Gravataí,43010,Metropolitana,4313
RS,4315750,Região 06 - Vale do Paranhana e Costa Serr,43006,Metropolitana,4313
RS,4313904,Região 13 - Diversidade,43013,Missioneira,4312
RS,4311122,Região 24 - Campos de Cima da Serra,43024,Serra,4310
RS,4310876,Região 12 - Portal das Missões,43012,Missioneira,4312
RS,4310553,Região 02 - Entre Rios,43002,Centro-oeste,4314
RS,4310462,Região 16 - Alto Uruguai Gaúcho,43016,Norte,4311
RS,4310207,Região 13 - Diversidade,43013,Missioneira,4312
RS,4306007,Região 13 - Diversidade,43013,Missioneira,4312
RS,4304705,Região 17 - Planalto,43017,Norte,4311
RS,4304101,Região 19 - Botucaraí,43019,Norte,4311
RS,4302808,Região 27 - Jacuí Centro,43027,Vales,4308
RS,4302451,Região 29 - Vales e Montanhas,43029,Vales,4308
RS,4300901,Região 16 - Alto Uruguai Gaúcho,43016,Norte,4311
RS,4323705,Região 15 - Caminho das Águas,43015,Norte,4311
RS,4323457,Região 01 - Verdes Campos,43001,Centro-oeste,4314
RS,4323309,Região 25 - Vinhedos e Basalto,43025,Serra,4310
RS,4322855,Região 29 - Vales e Montanhas,43029,Vales,4308
RS,4322558,Região 17 - Planalto,43017,Norte,4311
RS,4322509,Região 24 - Campos de Cima da Serra,43024,Serra,4310
RS,4322376,Região 02 - Entre Rios,43002,Centro-oeste,4314
RS,4322186,Região 18 - Araucárias,43018,Norte,4311
RS,4322103,Região 14 - Fronteira Noroeste,43014,Missioneira,4312
RS,4312427,Região 19 - Botucaraí,43019,Norte,4311
RS,4312476,Região 07 - Vale dos Sinos,43007,Metropolitana,4313
RS,4312807,Região 25 - Vinhedos e Basalto,43025,Serra,4310
RS,4313201,Região 23 - Caxias e Hortênsias,43023,Serra,4310
RS,4314001,Região 25 - Vinhedos e Basalto,43025,Serra,4310
RS,4313409,Região 07 - Vale dos Sinos,43007,Metropolitana,4313
RS,4313466,Região 20 - Rota da Produção,43020,Norte,4311
RS,4314134,Região 16 - Alto Uruguai Gaúcho,43016,Norte,4311
RS,4314548,Região 25 - Vinhedos e Basalto,43025,Serra,4310
RS,4315149,Região 07 - Vale dos Sinos,43007,Metropolitana,4313
RS,4315404,Região 20 - Rota da Produção,43020,Norte,4311
RS,4315453,Região 29 - Vales e Montanhas,43029,Vales,4308
RS,4316428,Região 20 - Rota da Produção,43020,Norte,4311
RS,4316733,Região 18 - Araucárias,43018,Norte,4311
RS,4316907,Região 01 - Verdes Campos,43001,Centro-oeste,4314
RS,4317251,Região 25 - Vinhedos e Basalto,43025,Serra,4310
RS,4318051,Região 17 - Planalto,43017,Norte,4311
RS,4318200,Região 06 - Vale do Paranhana e Costa Serr,43006,Metropolitana,4313
RS,4318408,Região 09 - Carbonífera/Costa Doce,43009,Metropolitana,4313
RS,4318432,Região 01 - Verdes Campos,43001,Centro-oeste,4314
RS,4318481,Região 07 - Vale dos Sinos,43007,Metropolitana,4313
RS,4318606,Região 18 - Araucárias,43018,Norte,4311
RS,4318622,Região 24 - Campos de Cima da Serra,43024,Serra,4310
RS,4319307,Região 14 - Fronteira Noroeste,43014,Missioneira,4312
RS,4319752,Região 26 - Uva Vale,43026,Serra,4310
RS,4319505,Região 08 - Vale do Caí e Metropolitana,43008,Metropolitana,4313
RS,4320008,Região 08 - Vale do Caí e Metropolitana,43008,Metropolitana,4313
RS,4320354,Região 09 - Carbonífera/Costa Doce,43009,Metropolitana,4313
RS,4320602,Região 16 - Alto Uruguai Gaúcho,43016,Norte,4311
RS,4321352,Região 05 - Bons Ventos,43005,Metropolitana,4313
RS,4320651,Região 01 - Verdes Campos,43001,Centro-oeste,4314
RS,4320859,Região 08 - Vale do Caí e Metropolitana,43008,Metropolitana,4313
RS,4322343,Região 11 - Sete Povos das Missões,43011,Missioneira,4312
RS,4321436,Região 04 - Belas Praias,43004,Metropolitana,4313
RS,4321477,Região 15 - Caminho das Águas,43015,Norte,4311
RS,4321808,Região 14 - Fronteira Noroeste,43014,Missioneira,4312
MS,5005400,Campo Grande,50001,Campo Grande,5008
MS,5000807,Dourados,50003,Dourados,5006
MS,5005681,Dourados,50003,Dourados,5006
MS,5007695,Campo Grande,50001,Campo Grande,5008
MS,5006275,Campo Grande,50001,Campo Grande,5008
MS,5007703,Dourados,50003,Dourados,5006
MS,5007208,Dourados,50003,Dourados,5006
MT,5106224,Teles Pires,51014,Norte,5103
MT,5105200,Sul Matogrossense,51013,Sul,5101
MT,5104203,Sul Matogrossense,51013,Sul,5101
MT,5105903,Centro Norte,51004,Centro-Norte,5105
MT,5107792,Sul Matogrossense,51013,Sul,5101
MT,5108402,Baixada Cuiabana,51002,Centro-Norte,5105
MT,5100508,Centro Norte,51004,Centro-Norte,5105
MT,5100359,Norte Araguaia Karajá,51009,Leste,5104
MT,5100805,Alto Tapajós,51001,Norte,5103
MT,5101209,Sul Matogrossense,51013,Sul,5101
MT,5101308,Médio Norte Matogrossense,51007,Centro-Norte,5105
MT,5103254,Noroeste Matogrossense,51008,Centro-Norte,5105
MT,5103353,Araguaia Xingu,51003,Leste,5104
MT,5103502,Centro Norte,51004,Centro-Norte,5105
MT,5105606,Vale do Peixoto,51015,Norte,5103
MT,5105622,Oeste Matogrossense,51011,Oeste,5102
MT,5107107,Oeste Matogrossense,51011,Oeste,5102
MT,5107206,Oeste Matogrossense,51011,Oeste,5102
MT,5107750,Oeste Matogrossense,51011,Oeste,5102
MT,5107875,Médio Norte Matogrossense,51007,Centro-Norte,5105
MT,5107180,Médio Araguaia,51006,Leste,5104
MT,5108352,Sudoeste Matogrossense,51012,Oeste,5102
MT,5108956,Alto Tapajós,51001,Norte,5103
MT,5106315,Norte Araguaia Karajá,51009,Leste,5104
MT,5106174,Médio Araguaia,51006,Leste,5104
MT,5106208,Baixada Cuiabana,51002,Centro-Norte,5105
MT,5107768,Teles Pires,51014,Norte,5103
MT,5102694,Araguaia Xingu,51003,Leste,5104
MT,5102637,Médio Norte Matogrossense,51007,Centro-Norte,5105
MT,5105259,Teles Pires,51014,Norte,5103
MT,5103106,Médio Araguaia,51006,Leste,5104
MT,5101852,Médio Araguaia,51006,Leste,5104
MT,5106752,Sudoeste Matogrossense,51012,Oeste,5102
MT,5104807,Sul Matogrossense,51013,Sul,5101
MT,5107701,Centro Norte,51004,Centro-Norte,5105
MT,5107743,Araguaia Xingu,51003,Leste,5104
MT,5108808,Norte Matogrossense,51010,Norte,5103
MT,5104542,Teles Pires,51014,Norte,5103
MT,5107198,Garças Araguaia,51005,Leste,5104
MT,5107248,Teles Pires,51014,Norte,5103
MT,5107602,Sul Matogrossense,51013,Sul,5101
PA,1505064,Lago de Tucuruí,15004,Macrorregional IV,1509
PA,1502004,Marajó I,15013,Macrorregional I,1512
PA,1503309,Tocantins,15011,Macrorregional I,1512
PA,1501782,Lago de Tucuruí,15004,Macrorregional IV,1509
PA,1502772,Carajás,15003,Macrorregional IV,1509
PA,1503077,Metropolitana III,15008,Macrorregional II,1511
PA,1501956,Rio Caetés,15009,Macrorregional II,1511
PA,1504307,Metropolitana III,15008,Macrorregional II,1511
PA,1505536,Carajás,15003,Macrorregional IV,1509
PA,1505635,Carajás,15003,Macrorregional IV,1509
PA,1504901,Marajó I,15013,Macrorregional I,1512
PA,1506104,Rio Caetés,15009,Macrorregional II,1511
PA,1505486,Xingu,15012,Macrorregional III,1510
PA,1507151,Carajás,15003,Macrorregional IV,1509
PA,1507755,Araguaia,15001,Macrorregional IV,1509
PA,1506138,Araguaia,15001,Macrorregional IV,1509
PA,1506187,Carajás,15003,Macrorregional IV,1509
PA,1508209,Metropolitana II,15007,Macrorregional II,1511
PA,1507805,Xingu,15012,Macrorregional III,1510
PA,1508035,Rio Caetés,15009,Macrorregional II,1511
PA,1502103,Tocantins,15011,Macrorregional I,1512
PA,1503804,Lago de Tucuruí,15004,Macrorregional IV,1509
PA,1508100,Lago de Tucuruí,15004,Macrorregional IV,1509
PA,1507904,Marajó I,15013,Macrorregional I,1512
PA,1504059,Metropolitana III,15008,Macrorregional II,1511
PA,1506112,Rio Caetés,15009,Macrorregional II,1511
PA,1507201,Metropolitana III,15008,Macrorregional II,1511
PA,1504950,Metropolitana III,15008,Macrorregional II,1511
PA,1502954,Carajás,15003,Macrorregional IV,1509
PA,1503002,Baixo Amazonas,15002,Macrorregional III,1510
PA,1502707,Araguaia,15001,Macrorregional IV,1509
PA,1501451,Baixo Amazonas,15002,Macrorregional III,1510
PA,1504752,Baixo Amazonas,15002,Macrorregional III,1510
PA,1507706,Marajó I,15013,Macrorregional I,1512
PA,1504455,Xingu,15012,Macrorregional III,1510
PA,1503754,Tapajós,15010,Macrorregional III,1510
PA,1506807,Baixo Amazonas,15002,Macrorregional III,1510
PA,1506203,Rio Caetés,15009,Macrorregional II,1511
PA,1505106,Baixo Amazonas,15002,Macrorregional III,1510
PA,1501204,Tocantins,15011,Macrorregional I,1512
PB,2501153,6ª Região,25006,Sertão/Alto Sertão,2501
PB,2504900,1ª Região Mata Atlântica,25001,João Pessoa,2503
PB,2507705,16ª Região,25016,Campina Grande,2502
PB,2507507,1ª Região Mata Atlântica,25001,João Pessoa,2503
PB,2513703,1ª Região Mata Atlântica,25001,João Pessoa,2503
PB,2503803,12ª Região,25012,João Pessoa,2503
PB,2504207,6ª Região,25006,Sertão/Alto Sertão,2501
PB,2507408,8ª Região,25008,Sertão/Alto Sertão,2501
PB,2505238,14ª Região,25014,João Pessoa,2503
PB,2505279,14ª Região,25014,João Pessoa,2503
PB,2505303,7ª Região,25007,Sertão/Alto Sertão,2501
PB,2505808,2ª Região,25002,João Pessoa,2503
PB,2506806,12ª Região,25012,João Pessoa,2503
PB,2507804,6ª Região,25006,Sertão/Alto Sertão,2501
PB,2510402,7ª Região,25007,Sertão/Alto Sertão,2501
PB,2511905,1ª Região Mata Atlântica,25001,João Pessoa,2503
PB,2512721,14ª Região,25014,João Pessoa,2503
PB,2513968,13ª Região,25013,Sertão/Alto Sertão,2501
PB,2513505,7ª Região,25007,Sertão/Alto Sertão,2501
PB,2514503,9ª Região,25009,Sertão/Alto Sertão,2501
PB,2513901,8ª Região,25008,Sertão/Alto Sertão,2501
PB,2514206,10ª Região,25010,Sertão/Alto Sertão,2501
PB,2513406,6ª Região,25006,Sertão/Alto Sertão,2501
PB,2513158,15ª Região,25015,Campina Grande,2502
PB,2514552,11ª Região,25011,Sertão/Alto Sertão,2501
PB,2514701,6ª Região,25006,Sertão/Alto Sertão,2501
PB,2515104,3ª Região,25003,Campina Grande,2502
PB,2516003,2ª Região,25002,João Pessoa,2503
PB,2516300,5ª Região,25005,Campina Grande,2502
PB,2516508,16ª Região,25016,Campina Grande,2502
PB,2516805,9ª Região,25009,Sertão/Alto Sertão,2501
PB,2502003,8ª Região,25008,Sertão/Alto Sertão,2501
PB,2509701,5ª Região,25005,Campina Grande,2502
PB,2510808,6ª Região,25006,Sertão/Alto Sertão,2501
PB,2512309,11ª Região,25011,Sertão/Alto Sertão,2501
PB,2504405,7ª Região,25007,Sertão/Alto Sertão,2501
PB,2504108,9ª Região,25009,Sertão/Alto Sertão,2501
PB,2513927,13ª Região,25013,Sertão/Alto Sertão,2501
PE,2611804,Palmares,26008,Metropolitana,2607
PE,2613701,Recife,26010,Metropolitana,2607
PE,2615409,Caruaru,26003,Agreste,2608
PE,2603108,Caruaru,26003,Agreste,2608
PE,2604908,Limoeiro,26006,Metropolitana,2607
PE,2608305,Garanhuns,26004,Agreste,2608
PE,2607653,Goiana,26005,Metropolitana,2607
PE,2608057,Arcoverde,26002,Sertão,2606
PE,2609006,Goiana,26005,Metropolitana,2607
PE,2611408,Palmares,26008,Metropolitana,2607
PE,2606606,Arcoverde,26002,Sertão,2606
PE,2609709,Limoeiro,26006,Metropolitana,2607
PE,2612208,Salgueiro,26011,Vale do S.Francisco e Araripe,2605
PI,2201903,Chapada das Mangabeiras,22002,Cerrados,2210
PI,2204709,Vale do Sambito,22010,Semi-árido,2207
PI,2206753,Carnaubais,22001,Meio Norte,2208
PI,2201051,Carnaubais,22001,Meio Norte,2208
PI,2201606,Entre Rios,22004,Meio Norte,2208
PI,2202653,Planície Litorânea,22005,Litoral,2209
PI,2201705,Vale dos Rios Piauí e Itaueiras,22011,Cerrados,2210
PI,2200053,Vale do Rio Guaribas,22009,Semi-árido,2207
PR,4113007,13ª RS Cianorte,41013,Noroeste,4106
PR,4109807,17ª RS Londrina,41017,Norte,4105
PR,4117800,5ª RS Guarapuava,41005,Leste,4107
PR,4107850,8ª RS Francisco Beltrão,41008,Oeste,4108
PR,4119400,3ª RS Ponta Grossa,41003,Leste,4107
PR,4120101,3ª RS Ponta Grossa,41003,Leste,4107
PR,4101903,17ª RS Londrina,41017,Norte,4105
PR,4101655,22ª RS Ivaiporã,41022,Norte,4105
PR,4103222,7ª RS Pato Branco,41007,Oeste,4108
PR,4125407,19ª RS Jacarezinho,41019,Norte,4105
PR,4127403,20ª RS Toledo,41020,Oeste,4108
PR,4107306,15ª RS Maringá,41015,Noroeste,4106
PR,4103479,12ª RS Umuarama,41012,Noroeste,4106
PR,4107520,12ª RS Umuarama,41012,Noroeste,4106
PR,4107538,20ª RS Toledo,41020,Oeste,4108
PR,4108601,11ª RS Campo Mourão,41011,Noroeste,4106
PR,4107736,4ª RS Irati,41004,Leste,4107
PR,4115739,22ª RS Ivaiporã,41022,Norte,4105
PR,4119905,3ª RS Ponta Grossa,41003,Leste,4107
PR,4110607,12ª RS Umuarama,41012,Noroeste,4106
PR,4114500,22ª RS Ivaiporã,41022,Norte,4105
PR,4121901,18ª RS Cornélio Procópio,41018,Norte,4105
PR,4124608,14ª RS Paranavaí,41014,Noroeste,4106
PR,4116208,1ª RS Paranaguá,41001,Leste,4107
PR,4122156,5ª RS Guarapuava,41005,Leste,4107
PR,4126009,18ª RS Cornélio Procópio,41018,Norte,4105
RJ,3302403,Norte,33008,Macrorregião III,3310
RJ,3301306,Baixada Litorânea,33002,Macrorregião III,3310
RJ,3300803,Serrana,33009,Macrorregião II,3311
RJ,3305802,Serrana,33009,Macrorregião II,3311
RN,2403400,Caicó,24004,Macrorregião I,2402
RN,2407302,Pau dos Ferros,24006,Macrorregião II,2401
RN,2410256,Açu,24008,Macrorregião II,2401
RN,2410603,Pau dos Ferros,24006,Macrorregião II,2401
RN,2414902,Pau dos Ferros,24006,Macrorregião II,2401
RN,2413102,Santa Cruz,24005,Macrorregião I,2402
RN,2414704,São José de Mipibu,24001,Macrorregião I,2402
RN,2412708,Santa Cruz,24005,Macrorregião I,2402
RO,1100106,Madeira-Mamoré,11004,Porto Velho,1102
RO,1101807,Central,11003,Porto Velho,1102
RR,1400407,Centro Norte,14001,Roraima,1401
RR,1400472,Sul,14002,Roraima,1401
RS,4306429,Região 20 - Rota da Produção,43020,Norte,4311
RS,4310702,Região 16 - Alto Uruguai Gaúcho,43016,Norte,4311
RS,4311205,Região 01 - Verdes Campos,43001,Centro-oeste,4314
RS,4313490,Região 20 - Rota da Produção,43020,Norte,4311
RS,4314753,Região 30 - Vale da Luz,43030,Vales,4308
RS,4300646,Região 15 - Caminho das Águas,43015,Norte,4311
RS,4312609,Região 29 - Vales e Montanhas,43029,Vales,4308
RS,4302253,Região 25 - Vinhedos e Basalto,43025,Serra,4310
RS,4302352,Região 26 - Uva Vale,43026,Serra,4310
RS,4307609,Região 07 - Vale dos Sinos,43007,Metropolitana,4313
RS,4303103,Região 10 - Capital e Vale do Gravataí,43010,Metropolitana,4313
RS,4303400,Região 15 - Caminho das Águas,43015,Norte,4311
RS,4303806,Região 16 - Alto Uruguai Gaúcho,43016,Norte,4311
RS,4304671,Região 05 - Bons Ventos,43005,Metropolitana,4313
RS,4305009,Região 13 - Diversidade,43013,Missioneira,4312
RS,4305801,Região 20 - Rota da Produção,43020,Norte,4311
RS,4305850,Região 17 - Planalto,43017,Norte,4311
RS,4305959,Região 25 - Vinhedos e Basalto,43025,Serra,4310
RS,4306130,Região 16 - Alto Uruguai Gaúcho,43016,Norte,4311
RS,4306403,Região 07 - Vale dos Sinos,43007,Metropolitana,4313
RS,4308102,Região 26 - Uva Vale,43026,Serra,4310
RS,4308433,Região 29 - Vales e Montanhas,43029,Vales,4308
RS,4308458,Região 12 - Portal das Missões,43012,Missioneira,4312
RS,4312351,Região 17 - Planalto,43017,Norte,4311
RS,4300703,Região 29 - Vales e Montanhas,43029,Vales,4308
RS,4309753,Região 27 - Jacuí Centro,43027,Vales,4308
RS,4310413,Região 13 - Diversidade,43013,Missioneira,4312
RS,4310504,Região 15 - Caminho das Águas,43015,Norte,4311
RS,4310801,Região 07 - Vale dos Sinos,43007,Metropolitana,4313
RS,4310850,Região 20 - Rota da Produção,43020,Norte,4311
RS,4311403,Região 29 - Vales e Montanhas,43029,Vales,4308
RS,4312005,Região 16 - Alto Uruguai Gaúcho,43016,Norte,4311
RS,4312179,Região 11 - Sete Povos das Missões,43011,Missioneira,4312
MA,2109106,Presidente Dutra,21012,Leste,2111
MA,2105153,Santa Inês,21014,Norte,2110
MA,2104651,Santa Inês,21014,Norte,2110
MA,2105963,Pedreiras,21010,Leste,2111
MA,2103604,Codó,21007,Leste,2111
MA,2101970,Zé Doca,21019,Norte,2110
MA,2109205,Rosário,21013,Norte,2110
MA,2101707,Rosário,21013,Norte,2110
MA,2107704,São João dos Patos,21015,Leste,2111
MA,2110500,Viana,21018,Norte,2110
MA,2111953,São João dos Patos,21015,Leste,2111
MA,2111672,Pedreiras,21010,Leste,2111
MA,2112456,Pinheiro,21011,Norte,2110
MA,2111789,Pinheiro,21011,Norte,2110
MA,2109056,Pinheiro,21011,Norte,2110
MA,2108702,Santa Inês,21014,Norte,2110
MA,2102002,Santa Inês,21014,Norte,2110
MA,2108207,Pedreiras,21010,Leste,2111
MA,2112902,Itapecuru Mirim,21009,Norte,2110
MA,2101731,Itapecuru Mirim,21009,Norte,2110
MA,2107506,São Luís,21016,Norte,2110
MA,2103406,Caxias,21005,Leste,2111
MA,2105658,Zé Doca,21019,Norte,2110
MA,2104909,Pinheiro,21011,Norte,2110
MA,2112233,Pedreiras,21010,Leste,2111
MA,2106201,Zé Doca,21019,Norte,2110
MA,2105104,Rosário,21013,Norte,2110
MA,2107357,Zé Doca,21019,Norte,2110
MA,2109809,Pinheiro,21011,Norte,2110
MA,2111102,São João dos Patos,21015,Leste,2111
MA,2107605,Viana,21018,Norte,2110
MA,2100154,Chapadinha,21006,Norte,2110
MA,2105427,Açailândia,21001,Sul,2109
MA,2103901,Caxias,21005,Leste,2111
MA,2105989,Imperatriz,21008,Sul,2109
PB,2506251,15ª Região,25015,Campina Grande,2502
PB,2506905,12ª Região,25012,João Pessoa,2503
PB,2508505,16ª Região,25016,Campina Grande,2502
PB,2509206,16ª Região,25016,Campina Grande,2502
PB,2502706,2ª Região,25002,João Pessoa,2503
PB,2512804,8ª Região,25008,Sertão/Alto Sertão,2501
PB,2515302,1ª Região Mata Atlântica,25001,João Pessoa,2503
PB,2510659,5ª Região,25005,Campina Grande,2502
PB,2500502,2ª Região,25002,João Pessoa,2503
PB,2505501,6ª Região,25006,Sertão/Alto Sertão,2501
PB,2501401,14ª Região,25014,João Pessoa,2503
PB,2503506,2ª Região,25002,João Pessoa,2503
PB,2501500,2ª Região,25002,João Pessoa,2503
PB,2505006,4ª Região,25004,Campina Grande,2502
PB,2507200,12ª Região,25012,João Pessoa,2503
PB,2508703,6ª Região,25006,Sertão/Alto Sertão,2501
PB,2504157,2ª Região,25002,João Pessoa,2503
PB,2507903,12ª Região,25012,João Pessoa,2503
PB,2510204,7ª Região,25007,Sertão/Alto Sertão,2501
PB,2510709,6ª Região,25006,Sertão/Alto Sertão,2501
PB,2514404,6ª Região,25006,Sertão/Alto Sertão,2501
PB,2514602,6ª Região,25006,Sertão/Alto Sertão,2501
PB,2516904,9ª Região,25009,Sertão/Alto Sertão,2501
PB,2512036,9ª Região,25009,Sertão/Alto Sertão,2501
PB,2505204,2ª Região,25002,João Pessoa,2503
PB,2512606,6ª Região,25006,Sertão/Alto Sertão,2501
PB,2508554,2ª Região,25002,João Pessoa,2503
PB,2500304,3ª Região,25003,Campina Grande,2502
PB,2513943,15ª Região,25015,Campina Grande,2502
PE,2609501,Limoeiro,26006,Metropolitana,2607
PE,2610004,Palmares,26008,Metropolitana,2607
PE,2605152,Petrolina,26009,Vale do S.Francisco e Araripe,2605
PE,2601102,Ouricuri,26007,Vale do S.Francisco e Araripe,2605
PE,2601003,Garanhuns,26004,Agreste,2608
PE,2600609,Caruaru,26003,Agreste,2608
PE,2602308,Caruaru,26003,Agreste,2608
PE,2614501,Limoeiro,26006,Metropolitana,2607
PE,2608750,Petrolina,26009,Vale do S.Francisco e Araripe,2605
PE,2616100,Salgueiro,26011,Vale do S.Francisco e Araripe,2605
PE,2615003,Caruaru,26003,Agreste,2608
PE,2615904,Afogados da Ingazeira,26001,Sertão,2606
PE,2603603,Goiana,26005,Metropolitana,2607
PE,2603504,Caruaru,26003,Agreste,2608
PE,2605202,Palmares,26008,Metropolitana,2607
PE,2604155,Limoeiro,26006,Metropolitana,2607
PE,2604502,Recife,26010,Metropolitana,2607
PE,2606408,Caruaru,26003,Agreste,2608
PE,2605509,Goiana,26005,Metropolitana,2607
PE,2605459,Recife,26010,Metropolitana,2607
PE,2606309,Ouricuri,26007,Vale do S.Francisco e Araripe,2605
PE,2607703,Afogados da Ingazeira,26001,Sertão,2606
PE,2607406,Serra Talhada,26012,Sertão,2606
PE,2608008,Caruaru,26003,Agreste,2608
PE,2608503,Limoeiro,26006,Metropolitana,2607
PE,2600054,Recife,26010,Metropolitana,2607
PE,2614204,Palmares,26008,Metropolitana,2607
